iter	Passed	Remaining
0	267	267244
1	446	222567
2	564	187688
3	657	163789
4	748	148985
5	847	140419
6	941	133510
7	1030	127721
8	1112	122482
9	1221	120927
10	1336	120182
11	1425	117386
12	1558	118342
13	1694	119309
14	1767	116060
15	1841	113246
16	1941	112274
17	2076	113279
18	2184	112777
19	2288	112155
20	2370	110521
21	2505	111396
22	2589	109996
23	2693	109555
24	2816	109855
25	2936	110007
26	3010	108504
27	3105	107808
28	3189	106777
29	3326	107550
30	3447	107771
31	3512	106260
32	3577	104820
33	3668	104221
34	3750	103403
35	3837	102754
36	3913	101843
37	3990	101033
38	4060	100067
39	4178	100289
40	4248	99367
41	4353	99293
42	4434	98701
43	4503	97852
44	4581	97228
45	4660	96651
46	4749	96296
47	4874	96680
48	4975	96560
49	5059	96122
50	5165	96123
51	5237	95480
52	5334	95309
53	5434	95197
54	5517	94794
55	5616	94684
56	5714	94537
57	5815	94449
58	5925	94512
59	6004	94075
60	6091	93764
61	6198	93772
62	6285	93491
63	6376	93263
64	6451	92800
65	6537	92517
66	6626	92273
67	6690	91701
68	6756	91170
69	6840	90885
70	6957	91029
71	7052	90903
72	7149	90792
73	7226	90427
74	7290	89911
75	7370	89610
76	7475	89612
77	7584	89648
78	7670	89427
79	7775	89416
80	7879	89395
81	7981	89349
82	8040	88837
83	8139	88760
84	8207	88346
85	8299	88209
86	8373	87873
87	8477	87858
88	8590	87932
89	8696	87931
90	8792	87828
91	8881	87651
92	8971	87500
93	9069	87409
94	9154	87210
95	9254	87147
96	9343	86981
97	9433	86826
98	9525	86695
99	9603	86428
100	9690	86254
101	9748	85828
102	9848	85766
103	9927	85527
104	10008	85308
105	10111	85278
106	10176	84929
107	10284	84938
108	10366	84735
109	10473	84741
110	10597	84873
111	10683	84701
112	10790	84697
113	10879	84557
114	10949	84266
115	11037	84113
116	11158	84213
117	11256	84138
118	11333	83902
119	11401	83609
120	11483	83424
121	11560	83198
122	11645	83033
123	11751	83017
124	11841	82887
125	11963	82988
126	12034	82728
127	12142	82718
128	12258	82769
129	12332	82533
130	12407	82305
131	12489	82127
132	12575	81978
133	12670	81883
134	12767	81807
135	12852	81651
136	12935	81484
137	13022	81340
138	13110	81212
139	13165	80870
140	13231	80610
141	13348	80657
142	13446	80582
143	13543	80508
144	13616	80292
145	13687	80060
146	13763	79865
147	13863	79807
148	13961	79738
149	14039	79556
150	14128	79438
151	14217	79319
152	14278	79047
153	14401	79116
154	14506	79083
155	14609	79038
156	14693	78894
157	14795	78844
158	14912	78878
159	15029	78903
160	15117	78780
161	15232	78795
162	15350	78825
163	15431	78660
164	15550	78693
165	15633	78545
166	15709	78361
167	15799	78246
168	15910	78233
169	15979	78016
170	16056	77838
171	16162	77805
172	16249	77678
173	16337	77554
174	16418	77399
175	16520	77348
176	16634	77344
177	16722	77223
178	16812	77114
179	16902	77002
180	17000	76923
181	17076	76750
182	17168	76647
183	17277	76623
184	17389	76608
185	17470	76455
186	17569	76387
187	17654	76254
188	17732	76091
189	17801	75890
190	17900	75819
191	17989	75704
192	18098	75675
193	18188	75565
194	18285	75485
195	18389	75432
196	18485	75349
197	18559	75174
198	18632	74999
199	18744	74977
200	18844	74910
201	18981	74985
202	19057	74820
203	19146	74709
204	19245	74636
205	19356	74607
206	19452	74521
207	19581	74560
208	19657	74395
209	19761	74340
210	19847	74214
211	19906	73992
212	19963	73760
213	20039	73604
214	20131	73501
215	20211	73358
216	20301	73253
217	20418	73244
218	20492	73082
219	20574	72944
220	20634	72733
221	20694	72525
222	20796	72460
223	20894	72383
224	20979	72264
225	21079	72191
226	21173	72103
227	21261	71991
228	21341	71853
229	21418	71704
230	21519	71637
231	21626	71592
232	21725	71516
233	21806	71384
234	21927	71381
235	22019	71284
236	22087	71109
237	22179	71011
238	22257	70869
239	22354	70790
240	22456	70722
241	22555	70647
242	22640	70530
243	22718	70391
244	22804	70276
245	22896	70179
246	22994	70102
247	23112	70082
248	23192	69950
249	23262	69786
250	23367	69730
251	23453	69614
252	23586	69640
253	23674	69531
254	23781	69479
255	23850	69316
256	23933	69193
257	23994	69006
258	24074	68876
259	24147	68728
260	24247	68655
261	24326	68522
262	24401	68379
263	24464	68204
264	24555	68107
265	24634	67976
266	24760	67976
267	24844	67859
268	24938	67770
269	25056	67745
270	25164	67693
271	25245	67568
272	25338	67476
273	25441	67411
274	25542	67340
275	25633	67242
276	25708	67100
277	25786	66969
278	25892	66911
279	25977	66798
280	26102	66789
281	26166	66623
282	26240	66482
283	26306	66322
284	26404	66242
285	26477	66101
286	26562	65989
287	26640	65860
288	26755	65823
289	26880	65811
290	26958	65681
291	27056	65602
292	27132	65468
293	27201	65321
294	27279	65192
295	27336	65016
296	27426	64918
297	27487	64752
298	27570	64638
299	27682	64593
300	27769	64488
301	27856	64383
302	27952	64298
303	28054	64231
304	28128	64095
305	28208	63976
306	28298	63878
307	28387	63780
308	28498	63730
309	28580	63615
310	28680	63540
311	28785	63475
312	28861	63347
313	28951	63250
314	29057	63187
315	29125	63044
316	29204	62922
317	29312	62865
318	29405	62774
319	29498	62684
320	29574	62557
321	29652	62435
322	29733	62321
323	29816	62209
324	29887	62073
325	29999	62022
326	30084	61917
327	30159	61790
328	30234	61663
329	30310	61540
330	30397	61438
331	30469	61305
332	30578	61248
333	30653	61124
334	30743	61028
335	30840	60947
336	30922	60836
337	31003	60723
338	31089	60619
339	31176	60519
340	31254	60400
341	31342	60301
342	31407	60158
343	31493	60057
344	31595	59986
345	31691	59903
346	31793	59830
347	31864	59700
348	31951	59600
349	32031	59486
350	32101	59355
351	32216	59307
352	32339	59274
353	32432	59183
354	32529	59102
355	32602	58976
356	32684	58868
357	32786	58796
358	32863	58677
359	32949	58576
360	33024	58456
361	33120	58373
362	33212	58282
363	33338	58251
364	33411	58126
365	33526	58076
366	33625	57996
367	33687	57854
368	33764	57737
369	33850	57637
370	33922	57512
371	34005	57407
372	34123	57360
373	34211	57263
374	34286	57144
375	34389	57071
376	34518	57041
377	34603	56940
378	34685	56833
379	34761	56716
380	34859	56634
381	34968	56572
382	35061	56482
383	35170	56419
384	35234	56284
385	35324	56190
386	35425	56112
387	35502	55998
388	35596	55911
389	35712	55858
390	35814	55783
391	35911	55699
392	36014	55624
393	36108	55537
394	36200	55446
395	36286	55346
396	36382	55260
397	36458	55145
398	36529	55022
399	36623	54935
400	36700	54821
401	36795	54734
402	36886	54643
403	36957	54521
404	37042	54420
405	37149	54351
406	37243	54264
407	37307	54132
408	37395	54035
409	37468	53917
410	37561	53828
411	37680	53777
412	37778	53695
413	37869	53603
414	37938	53479
415	38016	53368
416	38096	53261
417	38183	53164
418	38315	53129
419	38410	53043
420	38496	52943
421	38566	52823
422	38692	52778
423	38771	52670
424	38850	52562
425	38931	52457
426	39032	52378
427	39134	52301
428	39242	52231
429	39346	52157
430	39446	52076
431	39519	51960
432	39618	51878
433	39733	51817
434	39818	51718
435	39915	51634
436	39992	51524
437	40060	51401
438	40132	51285
439	40228	51199
440	40317	51105
441	40393	50994
442	40463	50875
443	40563	50795
444	40648	50696
445	40750	50618
446	40840	50525
447	40945	50451
448	41015	50333
449	41093	50225
450	41172	50119
451	41259	50022
452	41315	49888
453	41403	49793
454	41491	49698
455	41577	49600
456	41657	49496
457	41740	49395
458	41823	49295
459	41895	49182
460	41991	49096
461	42089	49012
462	42198	48942
463	42290	48852
464	42365	48742
465	42478	48677
466	42575	48593
